name,price,link
"NORMA JM 7x65 R 9,7 G",1.95 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-jm-7x65-r-97-g-_n3hj6c/
SAKO .308 WIN. 129A GAMEHEAD 8 G,1.95 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-129a-gamehead-8-g-_q7lbdq/
"PADRUN SAKO .30-06 SPR 152A GAMEHEAD  9,7 G",1.95 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/padrun-sako-30-06-spr-152a-gamehead-97-g-_o7d9ly/
"SAKO .308 WIN 152A GAMEHEAD 9,7 G",1.95 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-152a-gamehead-97-g-_cgkb5r/
"SAKO .30-06 SPR 153A GAMEHEAD 11,7 G",1.95 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-30-06-spr-153a-gamehead-117-g-_agc9dz/
"SAKO .308 WIN 153A GAMEHEAD 11,7 G",1.95 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-153a-gamehead-117-g-_ypjaxs/
"SAKO .30-06 SPR. RANGE SPEEDHEAD 8,0G",1.99 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-30-06-spr-range-speedhead-80g-_0s3l3x/
"S&B .22-250 REM. SBT 3,6 G",1.99 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-22-250-rem-sbt-36-g-_t4td6c/
LAPUA .243 WIN. FMJ 5.8G,1.99 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/lapua/lapua-243-win-fmj-58g-_vwmjlj/
S&B 7 X 64 SP 9.1 G,1.99 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-7-x-64-sp-91-g-_l7q7mz/
"SAKO .22-250 REM 106G GAMEHEAD 3,2 G",2.00 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-22-250-rem-106g-gamehead-32-g-_qz6g15/
"SAKO .22-250 REM. 110G GAMEHEAD 3,56 G ",2.00 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-22-250-rem-110g-gamehead-356-g-_d85ft6/
